행정구역,위도,경도
북돌아진오름,33.340455,126.442994
삼형제오름(셋오름),33.338221,126.37688
정월오름,33.385344,126.291778
문도지오름,33.326674,126.295875
검은오름,33.355429,126.306411
당오름,33.299951,126.195009
수월봉(물봉),33.298517,126.168341
이계오름,33.310625,126.269989
저지오름,33.363914,126.262498
가메창오름,33.32689,126.253791
마흐니오름,33.334339,126.272364
남송악오름,33.314642,126.304149
원물오름,33.325758,126.343046
대병악(큰오름),33.306627,126.370444
소병악(족은오름),33.306627,126.370444
신산오름,33.267431,126.359708
영실오름,33.347899,126.487845
개오름,33.255584,126.463872
활오름,33.264975,126.482385
영천오름,33.294907,126.601811
서리오름,33.255811,126.604762
자배봉(자배오름),33.30354,126.673567
물영아리오름,33.369592,126.683167
따라비오름,33.360124,126.832899
매오름,33.320208,126.812442
가세오름,33.330739,126.781795
모구리알오름,33.408031,126.827102
안친오름,33.478623,126.785666
말젯오름(과오름),33.447494,126.317108
웃선족이오름,33.442176,126.748558
알선족이오름,33.482306,126.782591
감은이오름,33.482723,126.791128
골체오름,33.450483,126.705224
당산봉알오름,33.310565,126.176723
소머리오름,33.491924,126.965363
돈두미오름,33.251456,126.206921
걸서악(동걸세)오름,33.2841,126.618023
이달오름,33.362973,126.527191
가문이오름,33.404363,126.686339
물영아리오름,33.369242,126.693377
사려니오름,33.330521,126.652306
바굼지오름,33.245516,126.289464
샛별오름,33.365313,126.357218
족은오름,33.402432,126.29791
당오름,33.342464,126.230758
정물오름,33.384275,126.316828
괴오름,33.372554,126.438257
북돌아진오름,33.340455,126.442994
삼형제오름,33.338221,126.37688
정월오름,33.385344,126.291778
문도지오름,33.326674,126.295875
검은오름,33.355429,126.306411
당오름,33.299951,126.195009
수월봉(물오름),33.298517,126.168341
이계오름,33.310625,126.269989
저지오름,33.363914,126.262498
가메창오름,33.32689,126.253791
마흐니오름,33.334339,126.272364
남송악오름,33.314642,126.304149
원물오름,33.325758,126.343046
대병악(큰오름),33.306627,126.370444
소병악(족은오름),33.306627,126.370444
신산오름,33.267431,126.359708
영실오름,33.347899,126.487845
개오름,33.255584,126.463872
활오름,33.264975,126.482385
영천오름,33.294907,126.601811
서리오름,33.255811,126.604762
자배봉(자배오름),33.30354,126.673567
따라비오름,33.360124,126.832899
매오름,33.320208,126.812442
가세오름,33.330739,126.781795
모구리알오름,33.408031,126.827102
안친오름,33.478623,126.785666
웃선족이오름,33.442176,126.748558
알선족이오름,33.482306,126.782591
감은이오름,33.482723,126.791128
골체오름,33.450483,126.705224
당산봉알오름,33.310565,126.176723
돈두미오름,33.251456,126.206921
걸서악(동걸세)오름,33.2841,126.618023
이달오름,33.362973,126.527191
바굼지오름,33.245516,126.289464
궷물오름,33.398317,126.404201
말젯오름(과오름),33.447494,126.317108
다랑쉬오름,33.52249,126.861798
아부오름,33.498843,126.829813
백약이오름,33.456611,126.786111
동거문오름,33.448835,126.80779
높은오름,33.458259,126.795691
문도지오름,33.326674,126.295875
당오름,33.299951,126.195009
정물오름,33.384275,126.316828
돔박이오름,33.339423,126.364168
원물오름,33.325758,126.343046
신산오름,33.267431,126.359708
활오름,33.264975,126.482385
서리오름,33.255811,126.604762
자배봉(자배오름),33.30354,126.673567
따라비오름,33.360124,126.832899
안친오름,33.478623,126.785666
